"Komitet Wyborczy Prawo i Sprawiedliwość","KW Prawo i Sprawiedliwość","PIS"
"Komitet Wyborczy Platforma Obywatelska RP","KW Platforma Obywatelska RP", "PO"
"Komitet Wyborczy Partia Razem","KW Razem","Razem"
"Komitet Wyborczy KORWiN","KW KORWiN", "KORWiN"
"Komitet Wyborczy Polskie Stronnictwo Ludowe","Komitet Wyborczy PSL", "PSL"
"Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni","KKW Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni","Zjednoczona Lewica"
"Komitet Wyborczy Wyborców „Kukiz'15”","KWW „Kukiz'15”","Kukiz'15"
"Komitet Wyborczy Nowoczesna Ryszarda Petru","KWW Nowoczesna Ryszarda Petru","Nowoczesna"
"Komitet Wyborczy Wyborców JOW Bezpartyjni","KWW JOW Bezpartyjni","JOW Bezpartyjni"
"Komitet Wyborczy Wyborców Zbigniewa Stonogi","KWW Zbigniewa Stonogi","Stonoga"
"Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”","KWW Grzegorza Brauna „Szczęść Boże!”","Braun"
"Komitet Wyborczy Samoobrona","KW Samoobrona","Samoobrona"
"Komitet Wyborczy Wyborców Ruch Społeczny Rzeczypospolitej Polskiej","KWW Ruch Społeczny RP","Ruch Społeczny RP"
"Komitet Wyborczy Kongres Nowej Prawicy","KW Kongres Nowej Prawicy","KNP"
"Komitet Wyborczy Wyborców Obywatele do Parlamentu","KWW Obywatele do Parlamentu","Obywatele do Parlamentu"
"Komitet Wyborczy Wyborców Mniejszość Niemiecka","KWW Mniejszość Niemiecka","Mniejszość Niemiecka"
"Komitet Wyborczy Wyborców Zjednoczeni dla Śląska","KWW Zjednoczeni dla Śląska","Zjednoczeni dla Śląska"